"DistName",County,Precinct,King,Smucker,WriteIn,Total,KingPct,SmuckPct,WIPct
"60-0-0-0",York,East Prospect Borough,100,229,,329,30.40,69.60,0.00
"61-0-0-0",York,Fawn Grove Borough,55,131,,186,29.57,70.43,0.00
"62-0-0-0",York,Felton Borough,26,144,,170,15.29,84.71,0.00
"64-0-0-0",York,Glen Rock Borough,301,460,1,762,39.50,60.37,0.13
"66-0-0-0",York,Hallam Borough,417,516,2,935,44.60,55.19,0.21
"67-0-1-0",York,Hanover Borough 1,452,618,1,1071,42.20,57.70,0.09
"67-0-2-0",York,Hanover Borough 2,545,953,1,1499,36.36,63.58,0.07
"67-0-3-0",York,Hanover Borough 3,324,479,0,803,40.35,59.65,0.00
"67-0-4-0",York,Hanover Borough 4,332,389,1,722,45.98,53.88,0.14
"67-0-5-0",York,Hanover Borough 5,327,455,0,782,41.82,58.18,0.00
"72-0-0-0",York,Jacobus Borough,286,516,2,804,35.57,64.18,0.25
"73-0-0-0",York,Jefferson Borough,71,169,0,240,29.58,70.42,0.00
"75-0-0-0",York,Loganville Borough,190,371,0,561,33.87,66.13,0.00
"78-0-0-0",York,New Freedom Borough,833,1372,4,2209,37.71,62.11,0.18
"79-0-0-0",York,New Salem Borough,117,223,0,340,34.41,65.59,0.00
